"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"SV_478_Pseudomonadales"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Halieaceae"	"Luminiphilus"	"(RS_GCF_000227505.1)"
"SV_479_Pseudomonadales"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Saccharospirillaceae"	"Bermanella"	"(GB_GCA_002162985.1)"
"SV_480_Flavobacteriales"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Crocinitomicaceae"	"Brumimicrobium"	"(GB_GCA_002734085.1)"
"SV_481_NA"	"Bacteria"	"Patescibacteria"	NA	NA	NA	NA	NA
"SV_482_Rhodospirillales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Terasakiellaceae"	"Terasakiella"	"(RS_GCF_900093605.1)"
"SV_483_Pseudomonadales"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	NA	NA	NA
"SV_484_Flavobacteriales"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"UBA7446"	"(GB_GCA_002478685.1)"
"SV_485_NA"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	NA	NA	NA	NA
"SV_486_Caulobacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Maricaulaceae"	"Maricaulis"	"Maricaulis_maris(RS_GCF_000014745.1)"
"SV_487_Pseudomonadales"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Saccharospirillaceae"	"Oleispira"	"Oleispira_antarctica_A(RS_GCF_000967895.1)"
"SV_488_NA"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	NA	NA	NA	NA
"SV_489_Bacteriovoracales"	"Bacteria"	"Bdellovibrionota"	"Bacteriovoracia"	"Bacteriovoracales"	"Bacteriovoracaceae"	"Halobacteriovorax"	NA
"SV_490_Pseudomonadales"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Pseudohongiellaceae"	"OM182"	"OM182_sp1(GB_GCA_001438145.1)"
"SV_491_Flavobacteriales"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Crocinitomicaceae"	"Crocinitomix"	"Crocinitomix_catalasitica(RS_GCF_000621625.1)"
"SV_492_Rhodobacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Marivita"	"Marivita_cryptomonadis(RS_GCF_002115725.1)"
"SV_493_Betaproteobacteriales"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Betaproteobacteriales"	NA	NA	NA
"SV_494_Pelagibacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Pelagibacterales"	"Pelagibacteraceae"	"Pelagibacter_A"	"Pelagibacter_A_ubique(GB_GCA_000419545.1)"
"SV_495_Pelagibacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Pelagibacterales"	"Pelagibacteraceae"	"Pelagibacter_A"	"Pelagibacter_A_ubique(GB_GCA_000419545.1)"
"SV_496_Chitinophagales"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Chitinophagales"	"Saprospiraceae"	"OLB8"	"(GB_GCA_001567405.1)"
"SV_497_Flavobacteriales"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	NA	NA	NA
"SV_498_Flavobacteriales"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	NA	NA	NA
"SV_499_NA"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	NA	NA	NA	NA
"SV_500_NA"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	NA	NA	NA	NA
"SV_501_NA"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	NA	NA	NA	NA
"SV_502_Rhodobacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	NA	NA
"SV_503_Opitutales"	"Bacteria"	"Verrucomicrobiota"	"Verrucomicrobiae"	"Opitutales"	"Opitutaceae"	NA	NA
"SV_504_NA"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	NA	NA	NA	NA
"SV_505_Babeliales"	"Bacteria"	"Dependentiae"	"Babeliae"	"Babeliales"	"Vermiphilaceae"	"Vermiphilus"	"Vermiphilus_pyriformis(GB_GCA_000385635.1)"
"SV_506_Flavobacteriales"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	NA	NA	NA
"SV_507_Betaproteobacteriales"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Betaproteobacteriales"	"Burkholderiaceae"	NA	NA
"SV_508_Micavibrionales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Micavibrionales"	"Micavibrionaceae"	NA	NA
"SV_509_NA"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	NA	NA	NA	NA
"SV_510_Flavobacteriales"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	NA	NA
"SV_511_Synechococcales_A"	"Bacteria"	"Cyanobacteriota"	"Cyanobacteriia"	"Synechococcales_A"	"Cyanobiaceae"	"Prochlorococcus_A"	"Prochlorococcus_A_marinus_O(RS_GCF_000011465.1)"
"SV_512_Rhodobacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Paracoccus"	"(RS_GCF_000967825.1)"
"SV_513_Enterobacterales"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Alteromonadaceae"	"Pseudoalteromonas"	NA
"SV_514_UBA4486"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"UBA4486"	"UBA4486"	"UBA7359"	"(GB_GCA_002292815.1)"
"SV_515_Micavibrionales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Micavibrionales"	"Micavibrionaceae"	"TMED27"	"(GB_GCA_002167715.1)"
"SV_516_Micavibrionales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Micavibrionales"	"Micavibrionaceae"	"UBA2137"	"UBA2137_sp1(GB_GCA_002695035.1)"
"SV_517_Flavobacteriales"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Psychroflexus"	"Psychroflexus_torquis(RS_GCF_000153485.2)"
"SV_518_Sphingomonadales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Kordiimonadaceae"	"Kordiimonas"	NA
"SV_519_Flavobacteriales"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	NA	NA
"SV_520_Rhodobacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Roseibaca"	"Roseibaca_calidilacus(RS_GCF_001517585.1)"
"SV_521_Flavobacteriales"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Hyunsoonleella"	"Hyunsoonleella_jejuensis(RS_GCF_900111025.1)"
"SV_522_Flavobacteriales"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Crocinitomicaceae"	NA	NA
"SV_523_Nitrosococcales"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Nitrosococcales"	"Methylophagaceae"	"Methylophaga"	"Methylophaga_thiooxydans(RS_GCF_000156355.1)"
"SV_524_Enterobacterales"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Alteromonadaceae"	"Aestuariibacter_A"	"Aestuariibacter_A_aggregatus(RS_GCF_900129565.1)"
"SV_525_Caulobacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Maricaulaceae"	"Oceanicaulis"	"Oceanicaulis_alexandrii(RS_GCF_000420265.1)"
"SV_526_Legionellales"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Legionellales"	"Legionellaceae"	NA	NA
"SV_527_Pseudomonadales"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Marinomonadaceae"	"Marinomonas"	NA
"SV_528_Rhizobiales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"TMED25"	"MED-G09"	"MED-G09_sp1(GB_GCA_002704345.1)"
"SV_529_Flavobacteriales"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"UBA7446"	"(GB_GCA_002478685.1)"
"SV_530_Betaproteobacteriales"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Betaproteobacteriales"	"Burkholderiaceae"	"Acidovorax"	NA
"SV_531_Cytophagales"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Cytophagales"	NA	NA	NA
"SV_532_Flavobacteriales"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"UA16"	"UA16"	"(GB_GCA_002863125.1)"
"SV_533_Pseudomonadales"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Saccharospirillaceae"	"Oleibacter"	"Oleibacter_marinus(RS_GCF_900156675.1)"
"SV_534_Micavibrionales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Micavibrionales"	"Micavibrionaceae"	"UBA1664"	"(GB_GCA_002401195.1)"
"SV_535_Rhizobiales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Beijerinckiaceae"	"Methylobacterium"	NA
"SV_536_Babeliales"	"Bacteria"	"Dependentiae"	"Babeliae"	"Babeliales"	"UBA12409"	NA	NA
"SV_537_Caulobacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	"Brevundimonas"	"(RS_GCF_002002865.1)"
"SV_538_Chromatiales"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Chromatiales"	"Sedimenticolaceae"	"41T-STBD-0c-01a"	"(RS_GCF_002009425.1)"
"SV_539_Bacteriovoracales"	"Bacteria"	"Bdellovibrionota"	"Bacteriovoracia"	"Bacteriovoracales"	"Bacteriovoracaceae"	"Halobacteriovorax"	"Halobacteriovorax_marinus(RS_GCF_000210915.2)"
"SV_540_Flavobacteriales"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"koll-22"	"BRH-c54"	"BRH-c54_sp1(GB_GCA_002770955.1)"
"SV_541_Rhodobacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Leisingera"	"(RS_GCF_000813725.1)"
"SV_542_NA"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	NA	NA	NA	NA
"SV_543_Pseudomonadales"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Porticoccaceae"	"AAA300-D14"	"AAA300-D14_sp1(GB_GCA_000384995.1)"
"SV_544_Flavobacteriales"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	NA	NA
"SV_545_Rhodospirillales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Thalassospiraceae"	"Thalassospira"	"Thalassospira_lohafexi(RS_GCF_002844235.1)"
"SV_546_Flavobacteriales"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Tenacibaculum"	"(RS_GCF_002813915.1)"
"SV_547_Enterobacterales"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Vibrionaceae"	"Vibrio"	NA
"SV_548_Rhodobacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Ruegeria"	"Ruegeria_meonggei(RS_GCF_900172215.1)"
"SV_549_NA"	"Bacteria"	NA	NA	NA	NA	NA	NA
"SV_550_Rhodobacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Nautella"	NA
"SV_551_NA"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	NA	NA	NA	NA
"SV_552_Rhodobacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Actibacterium"	NA
"SV_553_Pseudomonadales"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Saccharospirillaceae"	"Bermanella"	"(GB_GCA_002162985.1)"
"SV_554_Pseudomonadales"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Saccharospirillaceae"	"Oleibacter"	"Oleibacter_marinus(RS_GCF_900156675.1)"
"SV_555_Flavobacteriales"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	NA	NA
"SV_556_NA"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	NA	NA	NA	NA
"SV_557_Rhodobacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Shimia"	"Shimia_haliotis(RS_GCF_900114415.1)"
"SV_558_Legionellales"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Legionellales"	"Legionellaceae"	NA	NA
"SV_559_Flavobacteriales"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"koll-22"	"UBA1494"	"(GB_GCA_002706365.1)"
"SV_560_NA"	"Bacteria"	NA	NA	NA	NA	NA	NA
"SV_561_NA"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	NA	NA	NA	NA
"SV_562_Flavobacteriales"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Crocinitomicaceae"	"Crocinitomix"	"Crocinitomix_catalasitica(RS_GCF_000621625.1)"
"SV_563_NA"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	NA	NA	NA	NA
"SV_564_Babeliales"	"Bacteria"	"Dependentiae"	"Babeliae"	"Babeliales"	NA	NA	NA
"SV_565_NA"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	NA	NA	NA	NA
"SV_566_Rhizobiales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Rhizobiaceae"	NA	NA
"SV_567_SAR86"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"SAR86"	"D2472"	"SAR86A"	"(GB_GCA_000252525.1)"
"SV_568_NA"	"Bacteria"	NA	NA	NA	NA	NA	NA
"SV_569_Cytophagales"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Cytophagales"	"Cyclobacteriaceae"	"UBA4465"	"(GB_GCA_002292365.1)"
"SV_570_Betaproteobacteriales"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Betaproteobacteriales"	"Burkholderiaceae"	NA	NA
"SV_571_Sphingomonadales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Sphingobium"	NA
"SV_572_Flavobacteriales"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Sediminicola"	"(RS_GCF_001430825.1)"
"SV_573_Pseudomonadales"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	NA	NA	NA
"SV_574_Pirellulales"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Pirellulales"	"Pirellulaceae"	NA	NA
"SV_575_Rhodobacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Roseovarius"	NA
"SV_576_Flavobacteriales"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	NA	NA
"SV_577_NA"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	NA	NA	NA	NA
"SV_578_Puniceispirillales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Puniceispirillales"	"Puniceispirillaceae"	"Puniceispirillum"	"Puniceispirillum_marinum(RS_GCF_000024465.1)"
"SV_579_NA"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	NA	NA	NA	NA
"SV_580_Micavibrionales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Micavibrionales"	"Micavibrionaceae"	"TMED27"	"(GB_GCA_002167715.1)"
"SV_581_Babeliales"	"Bacteria"	"Dependentiae"	"Babeliae"	"Babeliales"	NA	NA	NA
"SV_582_NA"	"Bacteria"	NA	NA	NA	NA	NA	NA
"SV_583_Pseudomonadales"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Porticoccaceae"	"HTCC2207"	"(GB_GCA_001438605.1)"
"SV_584_Rickettsiales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rickettsiales"	NA	NA	NA
"SV_585_Micavibrionales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Micavibrionales"	"Micavibrionaceae"	"TMED27"	"(GB_GCA_002167715.1)"
"SV_586_Rhodospirillales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Terasakiellaceae"	"Terasakiella"	"(RS_GCF_900093605.1)"
"SV_587_Rickettsiales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rickettsiales"	"Rickettsiaceae"	NA	NA
"SV_588_Rhizobiales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Rhizobiaceae"	NA	NA
"SV_589_NA"	"Bacteria"	"Planctomycetota"	NA	NA	NA	NA	NA
"SV_590_SAR86"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"SAR86"	"D2472"	"SAR86A"	"(GB_GCA_000252525.1)"
"SV_591_Balneolales"	"Bacteria"	"Bacteroidota"	"Rhodothermia"	"Balneolales"	"Balneolaceae"	NA	NA
"SV_592_Chitinophagales"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Chitinophagales"	"Saprospiraceae"	"Lewinella_A"	"Lewinella_A_agarilytica(RS_GCF_900110645.1)"
"SV_593_Sphingomonadales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Erythrobacter"	"(RS_GCF_000152865.1)"
"SV_594_Rhodobacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Leisingera"	"(RS_GCF_000813725.1)"
"SV_595_Flavobacteriales"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	NA	NA	NA
"SV_596_NA"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	NA	NA	NA	NA
"SV_597_NA"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	NA	NA	NA	NA
"SV_598_NA"	"Bacteria"	NA	NA	NA	NA	NA	NA
"SV_599_Pseudomonadales"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Moraxellaceae"	"Acinetobacter"	"Acinetobacter_ursingii(RS_GCF_000368825.1)"
"SV_600_Betaproteobacteriales"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Betaproteobacteriales"	"Burkholderiaceae"	"Limnobacter"	"(RS_GCF_000170915.1)"
"SV_601_Flavobacteriales"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Weeksellaceae"	"Chryseobacterium"	"Chryseobacterium_arthrosphaerae(RS_GCF_001684965.1)"
"SV_602_Rhizobiales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Beijerinckiaceae"	"Bosea"	NA
"SV_603_Flavobacteriales"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	NA	NA	NA
"SV_604_NA"	"Bacteria"	NA	NA	NA	NA	NA	NA
"SV_605_NA"	"Bacteria"	NA	NA	NA	NA	NA	NA
"SV_606_Micavibrionales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Micavibrionales"	"Micavibrionaceae"	"TMED27"	"(GB_GCA_002167715.1)"
"SV_607_NA"	"Bacteria"	NA	NA	NA	NA	NA	NA
"SV_608_NA"	"Bacteria"	"Proteobacteria"	NA	NA	NA	NA	NA
"SV_609_NA"	"Bacteria"	NA	NA	NA	NA	NA	NA
"SV_610_Campylobacterales"	"Bacteria"	"Campylobacterota"	"Campylobacteria"	"Campylobacterales"	"Arcobacteraceae"	"Arcobacter"	NA
"SV_611_NA"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	NA	NA	NA	NA
"SV_612_Flavobacteriales"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Tenacibaculum"	"(RS_GCF_000518405.1)"
"SV_613_Flavobacteriales"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	NA	NA
"SV_614_Rhizobiales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Beijerinckiaceae"	"Methylobacterium"	"Methylobacterium_populi(RS_GCF_001643095.1)"
"SV_615_Legionellales"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Legionellales"	"Legionellaceae"	"Tatlockia"	NA
"SV_616_Parachlamydiales"	"Bacteria"	"Verrucomicrobiota"	"Chlamydiia"	"Parachlamydiales"	"Simkaniaceae"	"Simkania"	"Simkania_negevensis(RS_GCF_000237205.1)"
"SV_617_Caulobacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Maricaulaceae"	NA	NA
"SV_618_Bdellovibrionales"	"Bacteria"	"Bdellovibrionota"	"Bdellovibrionia"	"Bdellovibrionales"	"Bdellovibrionaceae"	"Bdellovibrio"	NA
"SV_619_NA"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	NA	NA	NA	NA
"SV_620_NA"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	NA	NA	NA	NA
"SV_621_UBA10121"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"UBA10121"	"UBA5542"	"2-01-FULL-41-14"	"(GB_GCA_001767855.1)"
"SV_622_Desulfovibrionales"	"Bacteria"	"Desulfobacterota"	"Desulfovibrionia"	"Desulfovibrionales"	NA	NA	NA
"SV_623_Pseudomonadales"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Saccharospirillaceae"	"Bacterioplanes"	"Bacterioplanes_sanyensis(RS_GCF_002237535.1)"
"SV_624_UBA1144"	"Bacteria"	"Dadabacteria"	"UBA1144"	"UBA1144"	"UBA1144"	"TMED58"	"TMED58_sp1(GB_GCA_002167555.1)"
"SV_625_Bacteriovoracales"	"Bacteria"	"Bdellovibrionota"	"Bacteriovoracia"	"Bacteriovoracales"	"Bacteriovoracaceae"	"Halobacteriovorax"	"(GB_GCA_002753895.1)"
"SV_626_NA"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	NA	NA	NA	NA
"SV_627_NA"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	NA	NA	NA	NA
"SV_628_Chlamydiales"	"Bacteria"	"Verrucomicrobiota"	"Chlamydiia"	"Chlamydiales"	"Chlamydiaceae"	NA	NA
"SV_629_Flavobacteriales"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Tenacibaculum"	"(RS_GCF_002700005.1)"
"SV_630_Sphingomonadales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Emcibacteraceae"	"Emcibacter"	"(RS_GCF_002740695.1)"
"SV_631_Bdellovibrionales"	"Bacteria"	"Bdellovibrionota"	"Bdellovibrionia"	"Bdellovibrionales"	"Bdellovibrionaceae"	"Bdellovibrio"	NA
"SV_632_Bacteriovoracales"	"Bacteria"	"Bdellovibrionota"	"Bacteriovoracia"	"Bacteriovoracales"	"Bacteriovoracaceae"	"Halobacteriovorax"	"Halobacteriovorax_marinus(RS_GCF_000210915.2)"
"SV_633_NA"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	NA	NA	NA	NA
"SV_634_Oligoflexales"	"Bacteria"	"Bdellovibrionota"	"Oligoflexia"	"Oligoflexales"	"bin106"	"bin106"	"(GB_GCA_002238945.1)"
"SV_635_NA"	"Bacteria"	"Proteobacteria"	NA	NA	NA	NA	NA
"SV_636_Francisellales"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Francisellales"	"Francisellaceae"	NA	NA
"SV_637_SAR324"	"Bacteria"	"SAR324"	"SAR324"	"SAR324"	"NAC60-12"	"JCVI-SCAAA005"	"JCVI-SCAAA005_sp2(UBA10388)"
"SV_638_UBA11654"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"UBA11654"	"UBA11654"	"UBA11654"	"(GB_GCA_001629325.1)"
"SV_639_Cytophagales"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Cytophagales"	"Cyclobacteriaceae"	"Fabibacter"	NA
"SV_640_NA"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	NA	NA	NA	NA
"SV_641_Pelagibacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Pelagibacterales"	"Pelagibacteraceae"	"Pelagibacter"	"Pelagibacter_ubique_H(RS_GCF_002101295.1)"
"SV_642_Rhodobacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	NA	NA
"SV_643_NA"	"Bacteria"	"Proteobacteria"	NA	NA	NA	NA	NA
"SV_644_NA"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	NA	NA	NA	NA
"SV_645_Babeliales"	"Bacteria"	"Dependentiae"	"Babeliae"	"Babeliales"	NA	NA	NA
"SV_646_UBA9983"	"Bacteria"	"Patescibacteria"	"Paceibacteria"	"UBA9983"	NA	NA	NA
"SV_647_Rhodobacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	NA	NA
"SV_648_Peregrinibacterales"	"Bacteria"	"Patescibacteria"	"Gracilibacteria"	"Peregrinibacterales"	NA	NA	NA
"SV_649_UBA10121"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"UBA10121"	"UBA5542"	"2-01-FULL-41-14"	"(GB_GCA_001767855.1)"
"SV_650_Babeliales"	"Bacteria"	"Dependentiae"	"Babeliae"	"Babeliales"	NA	NA	NA
"SV_651_Rhodobacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	NA	NA
"SV_652_Campylobacterales"	"Bacteria"	"Campylobacterota"	"Campylobacteria"	"Campylobacterales"	"Arcobacteraceae"	"Arcobacter"	NA
"SV_653_Pelagibacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Pelagibacterales"	"Pelagibacteraceae"	"Pelagibacter"	"Pelagibacter_ubique_H(RS_GCF_002101295.1)"
